name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BMBF,BMFTR,2012-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2012-01-01,2,0,2,2,0,1,2,2
BKM,BKM,2012-01-01,13,0,6,2,1,3,3,0
BMZ,BMZ,2012-01-01,21,0,19,0,0,0,1,0
BPA,BPA,2012-01-01,10,0,7,2,0,0,0,0
BPrA,BPrA,2012-01-01,14,0,7,0,6,1,0,0
BT,BT,2012-01-01,90,2,4,12,56,13,1,8
BR,BR,2012-01-01,0,0,0,0,0,0,0,0
BBank,BBank,2012-01-01,13,1,8,0,4,0,2,1
BfDI,BfDI,2012-01-01,20,1,16,1,2,0,1,0
BRH,BRH,2012-01-01,25,0,10,3,7,1,0,2
BK,BK,2013-01-01,80,5,30,15,19,20,15,4
BK,BK,2013-01-01,10,0,0,0,9,0,0,2
BMAS,BMAS,2013-01-01,96,1,29,12,21,33,9,4
BMAS,BMAS,2013-01-01,411,10,264,14,101,25,160,55
AA,AA,2013-01-01,147,6,46,14,14,78,35,7
AA,AA,2013-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2013-01-01,166,8,63,30,17,63,8,32
BMI,BMI,2013-01-01,160,4,46,21,44,41,2,12
BMJ,BMJ,2013-01-01,65,1,22,7,4,26,6,2
BMJ,BMJ,2013-01-01,56,3,21,16,5,9,8,2
BMF,BMF,2013-01-01,64,0,15,18,13,16,6,10
BMF,BMF,2013-01-01,1326,53,922,31,266,103,344,228
BMWi,BMWE,2013-01-01,93,14,39,15,41,3,8,22
BMWi,BMWE,2013-01-01,569,6,478,45,36,14,56,7
BMELV,BMLEH,2013-01-01,15,0,12,1,0,3,4,0
BMELV,BMLEH,2013-01-01,41,0,34,1,1,3,33,0
BMVg,BMVg,2013-01-01,77,2,46,11,9,4,0,3
BMVg,BMVg,2013-01-01,13,0,5,0,7,2,0,0
BMFSFJ,BMBFSFJ,2013-01-01,38,0,19,2,2,16,2,1
BMFSFJ,BMBFSFJ,2013-01-01,26,1,14,9,2,0,3,2
BMG,BMG,2013-01-01,28,0,10,5,8,7,1,3
BMG,BMG,2013-01-01,211,3,152,23,19,16,10,6
BMVBS,BMV,2013-01-01,37,3,10,10,13,5,4,6
BMVBS,BMV,2013-01-01,140,1,100,11,6,22,14,7
BMU,BMUKN,2013-01-01,3,0,2,0,0,1,0,0
BMU,BMUKN,2013-01-01,18,0,14,1,0,3,0,0
BMBF,BMFTR,2013-01-01,40,0,9,7,18,3,2,1
BMBF,BMFTR,2013-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2013-01-01,10,0,6,3,0,0,3,0
BKM,BKM,2013-01-01,11,0,10,1,1,3,4,1
BMZ,BMZ,2013-01-01,24,0,21,0,0,1,2,1
BPA,BPA,2013-01-01,425,1,0,424,1,0,2,1
BPrA,BPrA,2013-01-01,11,0,5,3,3,0,1,1
BT,BT,2013-01-01,181,1,81,24,65,18,0,10
BR,BR,2013-01-01,6,0,1,2,1,2,0,1
BBank,BBank,2013-01-01,5,0,3,1,2,0,0,2
BfDI,BfDI,2013-01-01,12,0,7,0,4,1,1,0
BRH,BRH,2013-01-01,121,0,44,9,47,12,0,3
BK,BK,2014-01-01,100,6,17,25,16,43,19,15
BK,BK,2014-01-01,18,0,0,0,18,0,0,1
BMAS,BMAS,2014-01-01,74,2,30,4,19,16,8,5
BMAS,BMAS,2014-01-01,540,8,416,15,38,52,9,15
AA,AA,2014-01-01,206,10,77,33,21,61,33,13
AA,AA,2014-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2014-01-01,274,4,52,104,14,103,7,5
BMI,BMI,2014-01-01,167,1,64,29,37,40,6,8
BMJV,BMJ,2014-01-01,75,1,25,4,8,35,6,5
BMJV,BMJ,2014-01-01,48,0,18,19,1,18,6,6
BMF,BMF,2014-01-01,1953,0,639,1186,20,676,31,942
BMF,BMF,2014-01-01,3238,464,979,1665,86,371,494,1238
BMWi,BMWE,2014-01-01,80,2,26,13,31,6,4,7
BMWi,BMWE,2014-01-01,769,2,359,56,187,143,60,4
BMEL,BMLEH,2014-01-01,9,0,5,2,0,2,0,1
BMEL,BMLEH,2014-01-01,64,1,64,2,4,1,46,3
BMVg,BMVg,2014-01-01,70,0,38,6,11,12,3,6
BMVg,BMVg,2014-01-01,21,0,10,3,4,4,2,1
BMFSFJ,BMBFSFJ,2014-01-01,16,0,8,5,1,4,2,1
BMFSFJ,BMBFSFJ,2014-01-01,29,1,11,3,4,5,0,2
BMG,BMG,2014-01-01,22,0,9,3,2,5,0,0
BMG,BMG,2014-01-01,136,6,81,14,2,32,26,3
BMVI,BMV,2014-01-01,35,0,8,16,4,7,2,3
BMVI,BMV,2014-01-01,169,1,118,14,12,24,19,9
BMUB,BMUKN,2014-01-01,15,0,8,0,1,6,0,0
BMUB,BMUKN,2014-01-01,26,0,19,3,1,3,1,3
BMBF,BMFTR,2014-01-01,26,0,5,0,9,9,7,3
BMBF,BMFTR,2014-01-01,1,0,0,0,0,1,0,0
BKM,BKM,2014-01-01,22,0,7,1,1,13,2,0
BKM,BKM,2014-01-01,13,0,4,5,1,5,3,2
BMZ,BMZ,2014-01-01,19,0,13,0,1,0,2,1
BPA,BPA,2014-01-01,40,0,25,0,3,7,1,0
