name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BPA,BPA,2020-01-01,83,1,17,1,13,5,0,1
BPrA,BPrA,2020-01-01,56,0,14,7,27,6,0,1
BT,BT,2020-01-01,392,4,55,18,80,153,0,33
BR,BR,2020-01-01,28,0,4,1,2,24,0,0
BBank,BBank,2020-01-01,49,0,11,4,26,5,1,0
BVerfG,BVerfG,2020-01-01,46,0,10,4,28,4,0,0
BfDI,BfDI,2020-01-01,221,0,71,13,27,69,0,0
BRH,BRH,2020-01-01,9,0,3,2,2,2,0,1
BK,BK,2021-01-01,397,7,64,195,62,91,42,32
BK,BK,2021-01-01,13,0,0,0,13,0,0,0
BMAS,BMAS,2021-01-01,94,1,19,13,9,58,0,2
BMAS,BMAS,2021-01-01,1308,20,1050,25,93,59,21,33
AA,AA,2021-01-01,334,7,75,63,33,156,76,14
AA,AA,2021-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2021-01-01,463,3,158,33,70,226,18,12
BMI,BMI,2021-01-01,644,11,258,84,110,173,14,10
BMJV,BMJ,2021-01-01,232,2,44,29,49,104,6,11
BMJV,BMJ,2021-01-01,260,1,228,10,12,17,4,7
BMF,BMF,2021-01-01,300,5,18,29,142,103,14,18
BMF,BMF,2021-01-01,4555,9,3481,67,103,837,980,22
BMWi,BMWE,2021-01-01,471,1,58,20,44,340,29,13
BMWi,BMWE,2021-01-01,1058,5,386,79,121,440,18,5
BMEL,BMLEH,2021-01-01,154,1,20,15,11,110,11,1
BMEL,BMLEH,2021-01-01,52,0,26,8,6,13,9,2
BMVg,BMVg,2021-01-01,248,4,70,30,9,115,0,4
BMVg,BMVg,2021-01-01,58,0,26,5,7,17,0,0
BMFSFJ,BMBFSFJ,2021-01-01,84,4,28,5,20,30,2,3
BMFSFJ,BMBFSFJ,2021-01-01,84,0,83,0,0,1,0,0
BMG,BMG,2021-01-01,1237,8,360,22,46,669,14,12
BMG,BMG,2021-01-01,849,3,261,66,59,406,25,19
BMVI,BMV,2021-01-01,400,3,106,32,91,137,1,13
BMVI,BMV,2021-01-01,230,10,93,30,40,39,7,22
BMU,BMUKN,2021-01-01,29,1,15,7,0,6,0,0
BMU,BMUKN,2021-01-01,87,0,63,15,4,4,0,1
BMBF,BMFTR,2021-01-01,177,2,46,14,6,113,7,2
BMBF,BMFTR,2021-01-01,3,0,2,0,0,1,0,0
BKM,BKM,2021-01-01,34,0,23,3,1,11,7,1
BKM,BKM,2021-01-01,25,1,13,4,5,1,0,3
BMZ,BMZ,2021-01-01,133,3,65,3,1,66,9,4
BPA,BPA,2021-01-01,43,0,10,1,21,4,1,1
BPrA,BPrA,2021-01-01,33,0,4,8,20,1,0,1
BT,BT,2021-01-01,211,0,30,4,30,151,0,4
BR,BR,2021-01-01,11,0,2,0,1,7,0,0
BBank,BBank,2021-01-01,40,0,8,3,24,5,2,0
BVerfG,BVerfG,2021-01-01,50,0,3,6,30,4,0,3
BfDI,BfDI,2021-01-01,211,0,71,5,13,98,0,2
BRH,BRH,2021-01-01,4,1,1,1,0,2,0,0
BK,BK,2022-01-01,253,7,40,38,72,99,39,18
BK,BK,2022-01-01,14,0,0,0,10,4,0,0
BMAS,BMAS,2022-01-01,105,0,33,7,16,43,0,2
BMAS,BMAS,2022-01-01,1119,11,928,28,47,66,11,26
AA,AA,2022-01-01,520,1,90,100,63,245,93,14
AA,AA,2022-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2022-01-01,499,3,161,29,67,232,8,16
BMI,BMI,2022-01-01,750,2,254,82,93,281,4,14
BMJ,BMJ,2022-01-01,223,4,51,30,27,102,8,6
BMJ,BMJ,2022-01-01,106,0,38,13,17,34,5,4
BMF,BMF,2022-01-01,284,3,23,32,55,153,6,16
BMF,BMF,2022-01-01,4628,7,2844,305,301,1110,758,19
BMWK,BMWE,2022-01-01,382,12,71,31,50,183,17,4
BMWK,BMWE,2022-01-01,1233,2,497,57,120,543,8,4
BMEL,BMLEH,2022-01-01,94,1,28,27,26,32,5,5
BMEL,BMLEH,2022-01-01,57,0,30,7,6,20,13,3
BMVg,BMVg,2022-01-01,333,7,69,78,20,139,0,7
BMVg,BMVg,2022-01-01,49,1,28,1,8,9,1,2
BMFSFJ,BMBFSFJ,2022-01-01,148,1,26,14,59,44,1,7
BMFSFJ,BMBFSFJ,2022-01-01,166,0,132,0,1,4,0,0
BMG,BMG,2022-01-01,500,1,199,14,28,419,21,6
BMG,BMG,2022-01-01,544,4,147,44,65,328,26,14
BMDV,BMV,2022-01-01,413,2,140,32,42,140,3,21
BMDV,BMV,2022-01-01,324,4,134,25,49,81,22,18
BMUV,BMUKN,2022-01-01,34,0,25,4,0,2,0,0
BMUV,BMUKN,2022-01-01,101,0,64,9,4,16,0,1
BMBF,BMFTR,2022-01-01,160,0,65,18,16,64,9,2
BMBF,BMFTR,2022-01-01,2,0,2,0,0,0,0,0
BKM,BKM,2022-01-01,69,0,39,4,3,16,2,0
BKM,BKM,2022-01-01,53,0,32,7,1,14,4,2
BMWSB,BMWSB,2022-01-01,27,0,8,1,2,12,0,0
BMWSB,BMWSB,2022-01-01,18,0,8,3,0,7,0,0
BMZ,BMZ,2022-01-01,129,0,38,13,9,64,6,2
BPA,BPA,2022-01-01,66,0,11,11,17,25,0,1
BPrA,BPrA,2022-01-01,50,0,15,1,29,5,1,2
BT,BT,2022-01-01,383,0,40,20,138,181,5,4
BR,BR,2022-01-01,13,0,6,0,0,8,0,0
BBank,BBank,2022-01-01,48,0,4,6,37,5,2,2
BVerfG,BVerfG,2022-01-01,46,0,15,14,13,3,1,1
BfDI,BfDI,2022-01-01,139,2,56,3,10,55,1,2
BRH,BRH,2022-01-01,5,0,2,1,1,0,0,0
BK,BK,2023-01-01,210,4,43,26,70,87,31,14
BK,BK,2023-01-01,6,0,0,0,6,0,0,0
BMAS,BMAS,2023-01-01,138,0,50,10,21,56,1,3
BMAS,BMAS,2023-01-01,897,8,603,39,106,84,15,55
AA,AA,2023-01-01,517,6,78,122,28,267,101,17
AA,AA,2023-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2023-01-01,575,3,200,23,95,256,12,16
BMI,BMI,2023-01-01,640,4,286,83,93,174,14,20
BMJ,BMJ,2023-01-01,333,2,64,49,45,190,14,11
BMJ,BMJ,2023-01-01,116,1,35,14,30,37,5,7
BMF,BMF,2023-01-01,335,10,37,52,71,167,18,36
BMF,BMF,2023-01-01,5409,8,2933,661,311,1353,803,30
BMWK,BMWE,2023-01-01,341,7,56,53,103,156,12,33
BMWK,BMWE,2023-01-01,1066,1,449,44,126,440,10,4
BMEL,BMLEH,2023-01-01,163,2,32,24,15,94,9,0
BMEL,BMLEH,2023-01-01,69,1,42,6,6,11,9,3
BMVg,BMVg,2023-01-01,323,2,85,40,35,141,0,7
BMVg,BMVg,2023-01-01,69,1,29,9,9,19,2,4
BMFSFJ,BMBFSFJ,2023-01-01,176,0,53,13,58,53,3,11
BMFSFJ,BMBFSFJ,2023-01-01,168,0,171,11,4,2,0,2
BMG,BMG,2023-01-01,1559,31,142,1050,26,339,10,5
BMG,BMG,2023-01-01,291,9,60,20,32,129,16,17
BMDV,BMV,2023-01-01,499,1,144,33,46,250,3,2
BMDV,BMV,2023-01-01,517,4,271,66,64,88,17,20
BMUV,BMUKN,2023-01-01,93,0,77,4,2,10,0,1
BMUV,BMUKN,2023-01-01,84,1,81,2,0,5,0,1
BMBF,BMFTR,2023-01-01,177,2,68,22,17,73,8,2
BMBF,BMFTR,2023-01-01,1,0,1,0,0,0,0,0
BKM,BKM,2023-01-01,68,0,47,0,0,13,2,1
BKM,BKM,2023-01-01,42,0,9,12,4,16,4,3
BMWSB,BMWSB,2023-01-01,76,0,23,5,8,41,0,2
BMWSB,BMWSB,2023-01-01,27,0,10,2,3,10,0,2
BMZ,BMZ,2023-01-01,140,0,20,15,4,89,9,1
BPA,BPA,2023-01-01,52,0,8,8,10,38,0,3
BPrA,BPrA,2023-01-01,35,0,10,1,15,9,0,0
BT,BT,2023-01-01,291,0,56,10,68,150,2,7
BR,BR,2023-01-01,15,0,2,0,1,12,0,0
BBank,BBank,2023-01-01,41,0,8,2,20,8,0,1
BVerfG,BVerfG,2023-01-01,50,1,21,10,14,0,1,7
BfDI,BfDI,2023-01-01,118,0,26,14,6,55,4,3
BRH,BRH,2023-01-01,3,0,1,3,0,0,0,0
BK,BK,2024-01-01,245,4,24,19,90,112,24,17
BK,BK,2024-01-01,5,0,0,0,5,0,0,1
BMAS,BMAS,2024-01-01,139,0,32,11,37,58,1,2
BMAS,BMAS,2024-01-01,717,5,482,45,41,95,9,22
AA,AA,2024-01-01,514,6,73,150,40,263,108,14
AA,AA,2024-01-01,1,1,0,0,0,0,0,0
BMI,BMI,2024-01-01,683,3,248,42,103,288,11,20
BMI,BMI,2024-01-01,795,7,311,77,146,216,11,16
BMJ,BMJ,2024-01-01,384,1,88,39,45,216,12,6
BMJ,BMJ,2024-01-01,149,3,53,16,28,59,4,7
BMF,BMF,2024-01-01,483,1,27,38,130,272,12,5
BMF,BMF,2024-01-01,6847,1,3584,937,526,1720,981,76
BMWK,BMWE,2024-01-01,335,1,48,42,40,183,20,10
BMWK,BMWE,2024-01-01,827,0,334,53,85,350,10,8
BMEL,BMLEH,2024-01-01,134,0,25,39,12,77,16,2
BMEL,BMLEH,2024-01-01,84,1,54,4,10,8,24,3
BMVg,BMVg,2024-01-01,349,1,85,44,30,153,0,2
BMVg,BMVg,2024-01-01,62,0,31,6,11,12,0,1
BMFSFJ,BMBFSFJ,2024-01-01,201,3,63,9,69,69,0,10
BMFSFJ,BMBFSFJ,2024-01-01,156,0,142,8,3,2,1,0
BMG,BMG,2024-01-01,343,6,136,49,38,148,13,6
BMG,BMG,2024-01-01,325,9,95,21,44,150,5,59
BMDV,BMV,2024-01-01,547,0,144,58,54,336,0,11
BMDV,BMV,2024-01-01,531,1,285,68,45,107,30,12
BMUV,BMUKN,2024-01-01,65,0,46,0,2,12,0,0
BMUV,BMUKN,2024-01-01,36,0,27,1,2,5,2,0
BMBF,BMFTR,2024-01-01,263,3,72,24,44,111,4,6
BMBF,BMFTR,2024-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2024-01-01,80,0,56,1,2,19,6,1
BKM,BKM,2024-01-01,25,0,3,11,1,14,5,4
BMWSB,BMWSB,2024-01-01,86,0,31,6,3,46,1,0
BMWSB,BMWSB,2024-01-01,13,0,6,2,1,6,1,0
BMZ,BMZ,2024-01-01,222,2,18,29,21,154,15,4
BPA,BPA,2024-01-01,43,0,3,2,14,16,0,2
BPrA,BPrA,2024-01-01,52,0,10,2,17,22,0,1
BT,BT,2024-01-01,327,2,50,9,55,204,2,10
BR,BR,2024-01-01,16,0,4,3,0,9,0,0
BBank,BBank,2024-01-01,25,0,2,3,17,1,0,0
BVerfG,BVerfG,2024-01-01,52,2,21,8,20,0,0,4
BfDI,BfDI,2024-01-01,126,1,34,6,8,55,4,3
BRH,BRH,2024-01-01,3,0,1,2,0,0,0,0
BK,BK,2025-01-01,301,7,19,20,33,237,30,16
BK,BK,2025-01-01,13,0,0,0,12,1,0,0
BMAS,BMAS,2025-01-01,177,2,33,16,15,105,0,2
BMAS,BMAS,2025-01-01,949,7,624,60,85,117,27,25
AA,AA,2025-01-01,559,3,55,113,30,371,87,13
AA,AA,2025-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2025-01-01,586,6,114,38,119,319,24,31
BMI,BMI,2025-01-01,896,8,312,86,170,253,20,31
BMJV,BMJ,2025-01-01,273,1,30,23,25,188,6,8
BMJV,BMJ,2025-01-01,190,1,50,18,37,72,2,6
BMF,BMF,2025-01-01,557,2,19,29,132,344,7,11
BMF,BMF,2025-01-01,8784,3,4532,1127,742,2128,1308,54
BMWE,BMWE,2025-01-01,351,1,32,45,49,208,15,9
BMWE,BMWE,2025-01-01,934,3,388,49,99,362,24,10
BMLEH,BMLEH,2025-01-01,160,0,13,22,13,110,7,2
BMLEH,BMLEH,2025-01-01,74,2,31,13,4,15,17,3
BMVg,BMVg,2025-01-01,401,0,89,31,37,214,1,2
BMVg,BMVg,2025-01-01,63,1,30,6,12,17,4,4
BMBFSFJ,BMBFSFJ,2025-01-01,169,1,40,5,55,66,0,3
BMBFSFJ,BMBFSFJ,2025-01-01,188,0,149,23,5,6,1,0
BMG,BMG,2025-01-01,361,1,164,9,12,130,5,10
BMG,BMG,2025-01-01,306,6,63,27,44,112,24,26
BMDS,BMDS,2025-01-01,57,0,7,4,11,19,1,1
BMDS,BMDS,2025-01-01,0,0,0,0,0,0,0,0
BMV,BMV,2025-01-01,575,2,101,56,41,349,23,11
BMV,BMV,2025-01-01,613,2,350,56,46,130,17,9
BMUKN,BMUKN,2025-01-01,41,0,26,0,0,10,0,1
BMUKN,BMUKN,2025-01-01,37,1,28,2,0,6,0,1
BMFTR,BMFTR,2025-01-01,176,2,44,16,6,106,7,4
BMFTR,BMFTR,2025-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2025-01-01,71,0,41,2,7,27,6,3
BKM,BKM,2025-01-01,35,0,10,0,1,23,1,1
BMWSB,BMWSB,2025-01-01,132,0,31,2,0,101,0,1
BMWSB,BMWSB,2025-01-01,12,0,2,2,4,4,0,1
BMZ,BMZ,2025-01-01,163,0,12,23,11,116,10,3
BPA,BPA,2025-01-01,39,0,8,2,5,28,0,1
BPrA,BPrA,2025-01-01,41,1,11,2,11,16,0,1
BT,BT,2025-01-01,478,1,77,12,33,346,1,6
BR,BR,2025-01-01,9,0,1,1,0,7,0,0
BBank,BBank,2025-01-01,45,1,13,6,13,9,1,3
BVerfG,BVerfG,2025-01-01,45,0,15,4,21,3,0,1
BfDI,BfDI,2025-01-01,116,1,25,3,8,57,10,4
BRH,BRH,2025-01-01,5,0,1,2,0,2,0,0
