;Eingang Anträge in 2023;Erledigungen und Bescheide in 2023;Informationszugang gewährt;Informationszugang teilweise gewährt;Informationszugang abgelehnt;sonstige Erledigung;Gebühr erhoben;Höhe der Gebühr unter 50 €;Höhe der Gebühr 50 bis 100 €;Höhe der Gebühr über 100 € €;Eingang Widersprüche  in 2022;Erledigungen und Wider spruchsbescheide in  2022;Abhilfe;Teilweise Abhilfe;Zurückweisung;sonstige Erledigung;Widerspruchsgebühren erhoben;Eingang Klagen in 2022;Klageerledigungen in 2022;Stattgabe;Teilweise Stattgabe;Abweisung;sonstige Erledigung
BK Amt;210;226;43;26;70;87;31;27;2;2;14;11;0;2;8;1;9;4;6;0;0;2;4
BK Amt GB;6;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BK Amt Gesamt;216;232;43;26;76;87;31;27;2;2;14;11;0;2;8;1;9;4;6;0;0;2;4
BMAS;138;137;50;10;21;56;1;0;0;1;3;2;0;1;1;0;0;0;0;0;0;0;0
BMAS GB;897;832;603;39;106;84;15;0;1;14;55;58;5;2;25;26;14;8;8;1;0;4;3
BMAS Gesamt;1035;969;653;49;127;140;16;0;1;15;58;60;5;3;26;26;14;8;8;1;0;4;3
AA;517;495;78;122;28;267;101;58;17;26;17;14;1;2;9;2;10;6;4;0;0;1;3
AA GB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AA Gesamt;517;495;78;122;28;267;101;58;17;26;17;14;1;2;9;2;10;6;4;0;0;1;3
BMI;575;574;200;23;95;256;12;0;2;10;16;18;0;0;18;0;0;3;3;1;1;1;0
BMI GB;640;636;286;83;93;174;14;1;4;9;20;11;1;0;7;3;4;4;1;0;0;1;0
BMI Gesamt;1215;1210;486;106;188;430;26;1;6;19;36;29;1;0;25;3;4;7;4;1;1;2;0
BMJ;333;348;64;49;45;190;14;0;3;11;11;14;1;3;10;0;8;2;1;0;0;0;1
BMJ GB;116;116;35;14;30;37;5;0;0;5;7;7;1;0;5;1;5;1;0;0;0;0;0
BMJ Gesamt;449;464;99;63;75;227;19;0;3;16;18;21;2;3;15;1;13;3;1;0;0;0;1
BMF;335;327;37;52;71;167;18;0;3;15;36;30;2;1;26;1;27;10;5;2;0;1;2
BMF GB;5409;5258;2933;661;311;1353;803;419;222;162;30;24;2;1;14;7;8;8;6;0;2;0;4
BMF Gesamt;5744;5585;2970;713;382;1520;821;419;225;177;66;54;4;2;40;8;35;18;11;2;2;1;6
BMWK;341;368;56;53;103;156;12;2;5;5;33;11;1;0;5;5;4;7;5;2;0;0;3
BMWK GB;1066;1059;449;44;126;440;10;5;1;4;4;15;0;11;3;1;2;1;2;0;0;1;1
BMWK Gesamt;1407;1427;505;97;229;596;22;7;6;9;37;26;1;11;8;6;6;8;7;2;0;1;4
BMEL;163;165;32;24;15;94;9;0;0;9;0;1;0;0;1;0;1;2;0;0;0;0;0
BMEL GB ;69;65;42;6;6;11;9;4;2;3;3;2;0;1;1;0;1;1;0;0;0;0;0
BMEL Gesamt;232;230;74;30;21;105;18;4;2;12;3;3;0;1;2;0;2;3;0;0;0;0;0
BMVg;323;301;85;40;35;141;0;0;0;0;7;5;0;0;5;0;5;2;2;2;0;0;0
BMVg GB;69;66;29;9;9;19;2;0;0;2;4;3;0;1;2;0;0;1;0;0;0;0;0
BMVg Gesamt;392;367;114;49;44;160;2;0;0;2;11;8;0;1;7;0;5;3;2;2;0;0;0
BMFSFJ;176;177;53;13;58;53;3;0;1;2;11;8;0;1;6;1;0;0;0;0;0;0;0
BMFSFJ GB;168;188;171;11;4;2;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0
BMFSFJ Gesamt;344;365;224;24;62;55;3;0;1;2;13;9;0;1;7;1;0;0;0;0;0;0;0
BMG;1559;1557;142;1050;26;339;10;1;2;7;5;3;0;0;3;0;3;31;2;0;0;1;1
BMG GB;291;241;60;20;32;129;16;4;4;8;17;13;2;2;7;2;7;9;3;0;0;1;2
BMG Gesamt;1850;1798;202;1070;58;468;26;5;6;15;22;16;2;2;10;2;10;40;5;0;0;2;3
BMDV;499;473;144;33;46;250;3;0;0;3;2;4;0;0;3;1;3;1;2;1;1;0;0
BMDV GB;517;489;271;66;64;88;17;10;1;6;20;16;6;1;9;0;1;4;5;0;1;0;4
BMDV Gesamt;1016;962;415;99;110;338;20;10;1;9;22;20;6;1;12;1;4;5;7;1;2;0;4
