;Eingang Anträge in 2023;Erledigungen und Bescheide in 2023;Informationszugang gewährt;Informationszugang teilweise gewährt;Informationszugang abgelehnt;sonstige Erledigung;Gebühr erhoben;Höhe der Gebühr unter 50 €;Höhe der Gebühr 50 bis 100 €;Höhe der Gebühr über 100 € €;Eingang Widersprüche  in 2022;Erledigungen und Wider spruchsbescheide in  2022;Abhilfe;Teilweise Abhilfe;Zurückweisung;sonstige Erledigung;Widerspruchsgebühren erhoben;Eingang Klagen in 2022;Klageerledigungen in 2022;Stattgabe;Teilweise Stattgabe;Abweisung;sonstige Erledigung
BMUV;93;93;77;4;2;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BMUV GB;84;88;81;2;0;5;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
BMUV Gesamt;177;181;158;6;2;15;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
BMBF;177;180;68;22;17;73;8;3;2;3;2;3;0;1;2;0;0;2;0;0;0;0;0
BMBF GB;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMBF Gesamt;178;181;69;22;17;73;8;3;2;3;2;3;0;1;2;0;0;2;0;0;0;0;0
BKM;68;60;47;0;0;13;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
BKM GB;42;41;9;12;4;16;4;1;1;2;3;2;0;0;1;1;0;0;1;0;0;0;1
BKM Gesamt;110;101;56;12;4;29;6;1;1;4;4;2;0;0;1;1;0;0;1;0;0;0;1
BMWSB;76;77;23;5;8;41;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0
BMWSB GB;27;25;10;2;3;10;0;0;0;0;2;2;1;0;1;0;0;0;0;0;0;0;0
BMWSB Gesamt;103;102;33;7;11;51;0;0;0;0;4;4;1;0;1;2;0;0;0;0;0;0;0
BMZ;140;128;20;15;4;89;9;3;2;4;1;2;0;1;1;0;0;0;1;0;0;0;1
BPA;52;64;8;8;10;38;0;0;0;0;3;2;1;0;1;0;1;0;0;0;0;0;0
BPrA;35;35;10;1;15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BT;291;284;56;10;68;150;2;0;0;2;7;5;0;0;3;2;3;0;1;0;0;0;1
BR;15;15;2;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBk;41;38;8;2;20;8;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
BVerfG;50;45;21;10;14;0;1;0;1;0;7;4;3;0;1;0;1;1;0;0;0;0;0
BfDI;118;101;26;14;6;55;4;0;2;2;3;3;0;1;1;1;2;0;0;0;0;0;0
BRH;3;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ressorts Gesamt;6328;6272;1351;1589;778;2554;240;94;42;104;183;143;9;13;105;16;78;71;32;8;2;6;16
Ressort GB'e Gesamt;9402;9111;4980;969;794;2368;895;444;236;215;168;154;18;19;76;41;42;38;26;1;3;7;15
Ressorts und GB'e Gesamt;15730;15383;6331;2558;1572;4922;1135;538;278;319;351;297;27;32;181;57;120;109;58;9;5;13;31
